Nombre del anuncio,Inicio del informe,Importe gastado (ARS),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
1 - Nueva,2026-08-08,1806.54,270,246,1.097561,2,0,0,0,0,0,0,0,1
2 - Nueva - Copia,2026-08-09,2500.82,450,389,1.156812,8,0,0,0,0,0,0,0,1
2 - Nueva - Copia 2,2026-08-09,555.37,100,99,1.010101,3,0,0,0,0,0,0,0,1
1 - Nueva,2026-08-09,58.58,6,6,1,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 3,2026-08-09,1942.75,312,253,1.233202,10,0,0,0,0,0,0,0,3
2 - Nueva - Copia 3,2026-08-09,147.26,18,17,1.058824,1,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 3,2026-08-09,12.33,3,3,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia 2,2026-08-09,15.87,1,1,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia 2,2026-08-09,302.13,53,47,1.12766,2,0,0,0,0,0,0,0,1
2 - Nueva - Copia,2026-08-09,160.49,17,13,1.307692,0,0,0,0,0,0,0,0,0
3 - Nueva,2026-08-09,52.24,12,9,1.333333,0,0,0,0,0,0,0,0,0
3 - Nueva,2026-08-09,32.63,2,2,1,0,0,0,0,0,0,0,0,0
2 - Nueva,2026-08-09,10.46,1,1,1,0,0,0,0,0,0,0,0,0
2 - Nueva,2026-08-09,154.24,15,14,1.071429,0,0,0,0,0,0,0,0,0
1 - Nueva,2026-08-09,1534.79,218,190,1.147368,3,0,0,0,0,0,0,0,1
Nuevo anuncio de Clientes potenciales - Copia 2,2026-08-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia,2026-08-10,1527.33,377,328,1.14939,6,0,0,0,0,0,0,0,1
2 - Nueva - Copia 2,2026-08-10,777.09,221,209,1.057416,2,0,0,0,0,0,0,0,0
2 - Nueva - Copia 3,2026-08-10,46.1,9,8,1.125,0,0,0,0,0,0,0,0,0
1 - Nueva,2026-08-10,4.34,1,1,1,0,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 3,2026-08-10,551.89,65,60,1.083333,1,0,0,0,0,0,0,0,0
Nuevo anuncio de Clientes potenciales - Copia 3,2026-08-10,13.28,1,1,1,0,0,0,0,0,0,0,0,0
2 - Nueva - Copia 2,2026-08-10,38.81,8,7,1.142857,0,0,0,0,0,0,0,0,0
