"Inicio del informe","Fin del informe","Nombre del anuncio","Identificador del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios",Objetivo,Frecuencia,"CPM (costo por mil impresiones) (ARS)","Clics en el enlace","CPC (costo por clic en el enlace) (ARS)","CTR (porcentaje de clics en el enlace)","Clics (todos)","CTR (todos)","Clientes potenciales","Costo por cliente potencial (ARS)","Conversaciones con mensajes iniciadas","Interacciones con la publicación","Comentarios de publicaciones","Reacciones a publicaciones","Veces que se compartieron las publicaciones","Veces que se guardaron las publicaciones",Compras,"Valor de resultados","Indicador de ROAS de resultado","Valor de conversión de compras","ROAS de resultados","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 100%","Tiempo promedio de reproducción del video",ThruPlays,"CTR único (porcentaje de clics en el enlace)","CTR único (todos)"
2026-08-23,2026-08-23,"2 - Nueva - Copia",120252605987120202,active,5,actions:leadgen.other,2015.454,"Con el presupuesto de la campaña",0,10077.27,1647,1458,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,Promedio,Promedio,"Por encima del promedio","Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.12963,6118.56102,24,419.88625,1.457195,47,2.853673,5,2015.454,4,25,,1,,,,,,,,,,,,,00:00:00,,1.577503,2.537723
2026-08-22,2026-08-22,"Nuevo anuncio de Clientes potenciales - Copia 4",120252849439060202,active,,,,"Con el presupuesto de la campaña",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",0,0,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-22,2026-08-22,"2 - Nueva - Copia 3",120252606034020202,active,,,,"Con el presupuesto de la campaña",0,24.56,7,7,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1,3508.571429,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-22,2026-08-22,"2 - Nueva - Copia 2",120252606006150202,active,,,,"Con el presupuesto de la campaña",0,1252.77,234,220,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.063636,5353.717949,1,1252.77,0.42735,2,0.854701,,,,1,,,,,,,,,,,,,,,00:00:00,,0.454545,0.909091
2026-08-22,2026-08-22,"2 - Nueva - Copia",120252605987120202,active,4,actions:leadgen.other,1948.09,"Con el presupuesto de la campaña",0,7792.36,1382,1229,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,"Por encima del promedio",Promedio,"Por encima del promedio","Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.124491,5638.465991,13,599.412308,0.940666,21,1.519537,4,1948.09,,14,,,,1,,,,,,,,,,,00:00:00,,0.976404,1.301871
2026-08-21,2026-08-21,"Nuevo anuncio de Clientes potenciales - Copia 4",120252849439060202,active,,,,"Con el presupuesto de la campaña",0,21.74,6,6,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1,3623.333333,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-21,2026-08-21,"2 - Nueva - Copia 3",120252606034020202,active,,,,"Con el presupuesto de la campaña",0,26.43,7,7,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1,3775.714286,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
2026-08-21,2026-08-21,"2 - Nueva - Copia 2",120252606006150202,active,1,actions:leadgen.other,1101.2,"Con el presupuesto de la campaña",0,1101.2,211,202,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.044554,5218.957346,2,550.6,0.947867,4,1.895735,1,1101.2,,3,,1,,,,,,,,,,,,,00:00:00,,0.990099,1.485149
2026-08-21,2026-08-21,"2 - Nueva - Copia",120252605987120202,active,3,actions:leadgen.other,2550.27,"Con el presupuesto de la campaña",0,7650.81,1319,1168,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,Promedio,Promedio,"Por encima del promedio","Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",1.129281,5800.462472,21,364.324286,1.592115,31,2.350265,3,2550.27,,22,,1,,,,,,,,,,,,,00:00:00,,1.712329,2.226027
2026-08-20,2026-08-20,"Nuevo anuncio de Clientes potenciales - Copia 4",120252849439060202,active,,,,"Con el presupuesto de la campaña",0,0,0,0,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-08-23T20:51:53-0300,-,-,-,"Nueva campaña de Clientes potenciales V.2 - Argentina","Clientes potenciales",0,0,,,,0,0,,,,,,,,,,,,,,,,,,,00:00:00,,0,0
