anuncio,formato,gasto,impresiones,ctr_%,cpc,hook_%,hold_%,roas,cpa,compras,cpl,leads,veredicto,se_rompe_en,motivo
Catalogo sin portada,video,106421.38,14934,3.66,194.55,8.7,4.08,3.92,13303,8,,0,Escalar,Agregaron al carrito,"ROAS 1.96x del objetivo, sin fatiga → escalar · Hook bajo (8.7%): el arranque no frena el scroll"
Catalogo_3,video,160564.64,43368,1.98,187.36,85.23,1.53,3.33,17841,9,,0,Escalar,Agregaron al carrito,"ROAS 1.67x del objetivo, sin fatiga → escalar · Hold bajo (1.53%): no retiene después del gancho"
Catalogo_2,video,3850.91,623,1.77,350.08,78.01,3.91,,,0,,0,Poca data,Vieron la landing (LPV),Poca data (0 compras · gasto 3850): dejar correr / mirar señales de arriba · Hold bajo (3.91%): no retiene después del gancho
Ad-1,video,1900.83,1282,11.7,12.67,40.09,32.3,,,0,,0,Poca data,Vieron la landing (LPV),Poca data (0 compras · gasto 1900): dejar correr / mirar señales de arriba
Catalogo_4 ¿Es un varón?,video,4495.37,648,3.86,179.81,63.73,4.12,,,0,,0,Poca data,Agregaron al carrito,Poca data (0 compras · gasto 4495): dejar correr / mirar señales de arriba · Hold bajo (4.12%): no retiene después del gancho
Catalogo_Karla,video,2012.39,318,3.46,182.94,12.58,15.0,,,0,,0,Poca data,Agregaron al carrito,Poca data (0 compras · gasto 2012): dejar correr / mirar señales de arriba · Hook bajo (12.58%): el arranque no frena el scroll
Catalogo_5,video,11061.81,2219,2.48,201.12,34.25,5.0,,,0,,0,Poca data,Agregaron al carrito,Poca data (0 compras · gasto 11061): dejar correr / mirar señales de arriba · Hold bajo (5.0%): no retiene después del gancho
