anuncio,formato,gasto,impresiones,ctr_%,cpc,hook_%,hold_%,roas,cpa,compras,cpl,leads,veredicto,se_rompe_en,motivo
Ad_Video_2,video,53717.11,20770,2.18,118.84,88.1,6.78,,5969,9,,0,Iterar,Vieron la landing (LPV),Hold bajo (6.78%): no retiene después del gancho
Ad_Video_3,video,32285.94,10236,1.38,228.98,86.5,6.14,,5381,6,,0,Iterar,Vieron la landing (LPV),Hold bajo (6.14%): no retiene después del gancho
Ad_Video_4,video,71825.39,34184,1.22,171.83,89.3,6.53,,5130,14,,0,Iterar,Vieron la landing (LPV),Hold bajo (6.53%): no retiene después del gancho
Ad_Video_1,video,5060.62,1395,1.94,187.43,94.91,10.5,,2530,2,,0,Poca data,Vieron la landing (LPV),Poca data (2 compras · gasto 5060): dejar correr / mirar señales de arriba
