Nombre del anuncio,Inicio del informe,Importe gastado (ARS),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 8,2026-08-28,41755.49,7546,5708,1.322004,213,199,54,5,2,284108.27,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-08-28,490.8,47,45,1.044444,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-08-28,1040.45,151,139,1.086331,4,3,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-08-28,65.6,19,19,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 7,2026-08-28,12777.04,2709,2252,1.202931,73,58,0,1,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 12,2026-08-28,3.13,3,3,1,0,0,0,0,0,0,0,0,
Ad1 - Angulo Anticipo Temporada,2026-08-28,25466.68,2023,1497,1.351369,70,92,22,2,2,197163.38,816,92,
Ad2 - Angulo Viaje,2026-08-28,97.37,4,4,1,1,1,0,0,0,0,4,0,
Ad6 - Secuencia - Nueva coleccion 2026 - Copia 3,2026-08-29,7370.34,1005,893,1.12542,46,42,6,0,0,0,18,0,
Ad6 - Secuencia - Nueva coleccion 2026 - Copia 4,2026-08-29,1953.9,161,115,1.4,9,8,0,0,0,0,3,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 8,2026-08-29,37117.15,6372,4669,1.364746,198,187,16,2,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 10,2026-08-29,177.72,23,21,1.095238,2,1,0,0,0,0,6,2,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-08-29,301.06,27,27,1,1,1,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 7,2026-08-29,1980.43,219,199,1.100503,6,6,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 11,2026-08-29,696.28,48,45,1.066667,2,2,2,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 12,2026-08-29,26.06,8,7,1.142857,0,0,0,0,0,0,0,0,
Ad1 - Angulo Anticipo Temporada,2026-08-29,19254.98,1613,1193,1.352054,51,47,8,0,0,0,637,97,
Ad6 - Secuencia - Nueva coleccion 2026 - Copia 3,2026-08-30,10534.05,1350,1058,1.275992,42,38,8,1,1,89980,27,1,
Ad6 - Secuencia - Nueva coleccion 2026 - Copia 4,2026-08-30,268.12,31,20,1.55,1,1,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 8,2026-08-30,61149.06,8302,5818,1.426951,320,280,81,9,5,678363.10,1,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-08-30,2130.91,262,221,1.18552,12,13,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 10,2026-08-30,1069.4,168,156,1.076923,2,1,0,0,0,0,16,2,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-08-30,73.27,17,17,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 7,2026-08-30,6909.29,708,601,1.178037,19,11,3,1,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 12,2026-08-30,855.8,119,99,1.20202,4,4,0,0,0,0,0,0,
Ad1 - Angulo Anticipo Temporada,2026-08-30,29039.83,2412,1845,1.307317,95,126,32,2,1,202240.50,1082,141,
Ad2 - Angulo Viaje,2026-08-30,169.38,20,19,1.052632,0,0,0,0,0,0,13,1,
Ad3 - Angulo Producto Fit,2026-08-30,1533.6,92,77,1.194805,4,3,0,0,0,0,28,4,
Ad6 - Secuencia - Nueva coleccion 2026 - Copia 3,2026-08-31,5875.97,843,661,1.27534,25,21,5,0,0,0,23,1,
Ad6 - Secuencia - Nueva coleccion 2026 - Copia 4,2026-08-31,616.86,36,30,1.2,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 8,2026-08-31,51678.93,7194,4626,1.555123,204,187,28,7,4,311159.55,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-08-31,318.11,34,34,1,1,1,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 10,2026-08-31,223.03,25,25,1,0,0,0,0,0,0,6,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-08-31,453.89,36,30,1.2,2,2,0,1,1,219950,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-08-31,2841.9,237,188,1.260638,4,2,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 7,2026-08-31,337.23,61,56,1.089286,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 11,2026-08-31,251.96,53,52,1.019231,3,3,0,0,0,0,0,0,
Ad1 - Angulo Anticipo Temporada,2026-08-31,26181.73,2047,1547,1.323206,59,53,6,1,1,75644.43,786,90,
Ad3 - Angulo Producto Fit,2026-08-31,23.99,1,1,1,0,0,0,0,0,0,1,0,
Ad6 - Secuencia - Nueva coleccion 2026 - Copia 3,2026-09-01,7941.49,952,724,1.314917,38,35,12,1,1,125930.20,21,1,
Ad6 - Secuencia - Nueva coleccion 2026 - Copia 4,2026-09-01,384.64,57,46,1.23913,1,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 8,2026-09-01,52302.32,7045,4349,1.619913,207,174,39,6,1,103653.77,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-09-01,11.72,4,4,1,0,0,0,0,0,0,0,0,
