"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Frecuencia,"CPM (costo por mil impresiones) (ARS)",Compras,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","ROAS de compras","Valor de conversión de compras promedio [Todas las conversiones de la atribución incremental]","Valor de conversión de compras","ROAS de resultados","Indicador de ROAS de resultado","CTR único (porcentaje de clics en el enlace)","Clics en el enlace","Reproducciones de video de 3 segundos","Tiempo promedio de reproducción del video","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 100%",ThruPlays,"CTR (porcentaje de clics en el enlace)","CTR único (todos)","CTR (todos)","CPC (costo por clic en el enlace) (ARS)","Visitas a la página de destino","Artículos agregados al carrito","Pagos iniciados","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 10",active,,,,"Con el presupuesto de la campaña",0,1532.84,174,154,1.12987,8809.425287,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,3.246753,8,3,2,20,12,7,3,3,4.597701,5.844156,8.045977,191.605,5,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 12",active,,,,"Con el presupuesto de la campaña",0,230.67,21,19,1.105263,10984.285714,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 2026 - Copia 3",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 7",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5",not_delivering,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad5 - Video - Sale - Copia 2",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9",active,,,,"Con el presupuesto de la campaña",0,2054.59,301,263,1.144487,6825.880399,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,2.661597,9,,00:00:00,,,,,,2.990033,2.661597,2.990033,228.287778,7,3,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 11",active,,,,"Con el presupuesto de la campaña",0,112.93,9,9,1,12547.777778,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,11.111111,1,,00:00:00,,,,,,11.111111,11.111111,11.111111,112.93,1,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 2026 - Copia 3",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6",active,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 4",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad5 - Video - Sale - Copia 3",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 3",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 4",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Video - Sale - Copia",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 8",active,2,actions:offsite_conversion.fb_pixel_purchase,17497.47,"Con el presupuesto de la campaña",0,34994.94,5458,3572,1.527996,6411.67827,2,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",3.428281,59986.25,119972.5,3.42828135,action_values:offsite_conversion.fb_pixel_purchase,3.219485,144,,00:00:00,,,,,,2.638329,4.255319,3.884207,243.020417,149,18,2,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 7",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad7 - Video - Sale",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 7",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Video - Sale",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5",not_delivering,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 2",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad5 - Video - Sale",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 2",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 2",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad2 - Video - Sale",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 4",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 2026 - Copia 3",active,,,,"Con el presupuesto de la campaña",0,16846.94,2415,1904,1.268382,6975.958592,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,3.308824,69,29,2,31,16,10,6,7,2.857143,3.886555,3.933747,244.158551,66,8,1,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 4",not_delivering,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 4",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 3",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 3",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 4",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 2",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 3",not_delivering,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 2026 - Copia 4",active,,,,"Con el presupuesto de la campaña",0,211.18,36,23,1.565217,5866.111111,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,4.347826,1,,00:00:00,,,,,,2.777778,4.347826,2.777778,211.18,1,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 2",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad5 - Video - Sale - Copia 3",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5",not_delivering,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad5 - Video - Sale - Copia 2",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia 2",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 2026 - Copia",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 202666 - Copia",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad4 - Imagen - Sale",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad6 - Secuencia - Nueva coleccion 2026 - Copia",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-24T22:24:38-0300,-,-,-,"A+ - SA - Nueva coleccion 2026",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad3 - Video - Sale",inactive,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
2026-08-25,2026-08-25,"Ad5 - Video - Sale - Copia",not_delivering,,,,"Con el presupuesto de la campaña",0,0,0,0,0,0,,"En curso","7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-08-22T19:14:35-0300,-,-,-,"A+ - Publicos Personalizados  - Sale",,,,,,0,,,00:00:00,,,,,,,0,0,,,,,,
